Stock,Local Outlier Factor,Isolation Forest,Is both
MYCB,1,1,False
NAII,1,1,False
NAPA,1,1,False
NATH,1,1,False
NBIO,1,1,False
NCPL,1,1,False
NDSN,1,1,False
NEN,1,1,False
NEOG,1,1,False
NEOV,1,1,False
NFG,1,1,False
NFTN,1,1,False
NGL,1,1,False
NGTF,1,1,False
NGVC,1,1,False
NHMD,-1,-1,True
NIMU,1,1,False
NJR,1,1,False
NKE,1,1,False
NMEX,1,1,False
NMRD,1,1,False
NMTC,1,1,False
NNVC,1,1,False
NOBH,1,1,False
NORD,1,1,False
NOTR,1,1,False
NOTV,1,1,False
NRHI,1,1,False
NRT,1,1,False
NSSC,1,1,False
NTAP,1,1,False
NTCT,1,1,False
NTIC,1,1,False
NTWK,1,1,False
NUZE,1,1,False
NVEC,1,1,False
NWCN,1,1,False
NWS,1,1,False
NWSA,1,1,False
NX,1,1,False
NXEN,1,1,False
NXMH,1,1,False
OCC,1,1,False
OCSL,1,1,False
ODC,1,1,False
ODYY,1,1,False
OESX,1,1,False
OFED,1,1,False
OILCF,1,1,False
OLKR,1,1,False
OMCC,1,1,False
ONCSQ,1,1,False
ONEW,1,1,False
ONVO,1,1,False
OPTT,1,1,False
OPXS,1,1,False
ORCL,1,1,False
OSIS,1,1,False
OTEX,1,1,False
OTLK,1,-1,False
PAHC,1,1,False
PANW,1,1,False
PAXH,1,1,False
PAYX,1,1,False
PBFS,1,1,False
PBH,1,1,False
PBSV,1,1,False
PCMC,1,1,False
PCTY,1,1,False
PCYN,1,1,False
PCYO,1,1,False
PDCO,1,1,False
PDEX,1,1,False
PDRO,1,1,False
PENG,1,1,False
PETS,1,1,False
PETV,1,1,False
PFGC,1,1,False
PFLT,1,1,False
PFX,1,1,False
PG,1,-1,False
PGTK,1,1,False
PH,1,1,False
PHBI,1,-1,False
PHCI,1,1,False
PHIL,1,1,False
PINC,1,1,False
PIXY,-1,1,False
PKE,1,-1,False
PLAB,1,1,False
PLPL,-1,1,False
PLUR,1,1,False
PLUS,1,1,False
PLXS,1,1,False
PLYN,1,1,False
PMCB,1,1,False
PNNT,1,1,False
PNPL,1,1,False
POCI,1,1,False
POST,1,1,False
POWL,1,1,False
POWW,1,1,False
POWWP,1,1,False
PPCB,1,1,False
PRKA,1,1,False
PROV,1,1,False
PRSI,1,1,False
PRST,1,1,False
PSEC,1,1,False
PSMT,1,1,False
PTC,1,1,False
PTCO,1,1,False
PTN,1,1,False
PTON,1,1,False
PURE,1,1,False
PVBC,1,1,False
PXPC,1,1,False
PYCR,1,1,False
PYYX,1,1,False
PZG,1,1,False
QCOM,1,1,False
QDMI,1,1,False
QMCO,1,1,False
QNST,1,1,False
QOEG,1,1,False
QREE,1,1,False
QRVO,1,1,False
RAMP,1,1,False
RASP,1,1,False
RAVE,1,1,False
RBC,1,1,False
RCAT,1,1,False
RDUS,1,1,False
RELL,1,1,False
RENB,1,1,False
